orth,pron,pattern,nphon,v_lec,v_lec_freq,v_lec_nh,v_lec_nh_freq,v_psum,v_pskew,v_pkurt,v_psd,v_pfwsum,v_psum_nh,v_pskew_nh,v_pkurt_nh,v_psd_nh,v_pfwsum_nh,a_denb,a_denb_freq,a_denb_nh,a_denb_nh_freq,a_dena,a_dena_freq,a_dena_nh,a_dena_nh_freq,a_dena_hfn,a_dena_hfn_nh,a_denb_hfn,a_denb_hfn_nh,a_psum,a_pskew,a_pkurt,a_psd,a_pfwsum,a_psum_nh,a_pskew_nh,a_pkurt_nh,a_psd_nh,a_pfwsum_nh,a_wt_psum,a_wt_pskew,a_wt_pkurt,a_wt_psd,a_wt_pfwsum,a_wt_psum_nh,a_wt_pskew_nh,a_wt_pkurt_nh,a_wt_psd_nh,a_wt_pfwsum_nh
chic,∫ik,CVC,3,11,7.7055,11,7.7055,18.2375,10.1197,136.4871,0.0444,148.4963,16.3434,9.9257,128.3790,0.0466,134.6063,33,7.5930,25,7.8892,30,7.4667,23,7.4667,21,18,23,19,23.4470,18.0450,431.3312,0.0169,188.7805,19.9968,19.6361,495.5255,0.0166,163.6819,15.3950,10.1210,129.8133,0.0319,124.6257,13.2498,10.5396,135.8537,0.0326,109.3748
sheik,∫ik,CVC,3,11,7.7055,11,7.7055,18.2375,10.1197,136.4871,0.0444,148.4963,16.3434,9.9257,128.3790,0.0466,134.6063,33,7.5930,25,7.8892,30,7.4667,23,7.4667,22,19,24,20,23.4470,18.0450,431.3312,0.0169,188.7805,19.9968,19.6361,495.5255,0.0166,163.6819,15.3950,10.1210,129.8133,0.0319,124.6257,13.2498,10.5396,135.8537,0.0326,109.3748
sheikh,∫ik,CVC,3,11,7.7055,11,7.7055,18.2375,10.1197,136.4871,0.0444,148.4963,16.3434,9.9257,128.3790,0.0466,134.6063,33,7.5930,25,7.8892,30,7.4667,23,7.4667,18,15,20,16,23.4470,18.0450,431.3312,0.0169,188.7805,19.9968,19.6361,495.5255,0.0166,163.6819,15.3950,10.1210,129.8133,0.0319,124.6257,13.2498,10.5396,135.8537,0.0326,109.3748
she'll,∫il,CVC,3,13,7.3615,11,7.5200,21.3833,8.5719,89.8431,0.0501,171.3331,18.6334,8.6709,91.4122,0.0512,151.6961,41,7.7571,32,7.9466,36,7.6142,28,7.6142,16,13,18,15,23.3397,15.0933,338.1648,0.0140,189.4141,19.0827,14.9039,333.3534,0.0127,158.2076,13.3733,6.1589,46.3600,0.0206,107.2622,11.0295,6.4455,50.5266,0.0202,90.3395
sheen,∫in,CVC,3,13,7.4892,11,7.6709,23.0638,8.9087,94.8988,0.0564,187.6463,19.8628,9.0947,99.3857,0.0566,164.8290,32,8.4347,24,8.7946,30,8.3073,23,8.3073,23,20,25,21,19.9828,11.8081,180.8575,0.0110,163.7385,16.5847,12.1512,194.6094,0.0100,138.6571,12.4207,6.5302,52.7749,0.0198,103.8374,10.2310,6.6020,54.0959,0.0186,87.7920
sheep,∫ip,CVC,3,10,7.9890,8,8.1450,13.8674,11.6166,148.5196,0.0559,111.8448,11.8906,11.7508,153.4624,0.0537,98.0034,29,8.0207,24,8.3679,27,7.8485,23,7.8485,8,8,9,9,24.9322,18.3865,417.3438,0.0200,198.5560,20.6430,20.1073,522.9515,0.0178,168.0986,16.7650,9.9757,117.3072,0.0385,133.1696,13.8258,10.6807,140.8237,0.0352,112.9740
sheet,∫it,CVC,3,6,7.9300,5,8.4640,21.4443,11.1779,151.2601,0.0543,175.1870,18.3472,11.1459,151.9997,0.0533,153.8862,36,8.3139,27,8.7989,32,8.0978,24,8.0978,9,9,11,11,25.3959,16.9112,353.7535,0.0192,204.6977,20.8818,18.9536,454.9573,0.0175,172.4845,17.0828,9.3442,103.9962,0.0363,137.7109,13.9291,10.3251,129.7403,0.0338,115.7301
she's,∫iz,CVC,3,5,8.3420,5,8.3420,19.9764,11.5105,168.4604,0.0482,164.4764,17.6988,11.3210,158.6295,0.0507,147.4106,35,7.7583,27,8.1759,32,7.5522,25,7.5522,4,4,5,5,24.4410,16.8198,392.2933,0.0161,194.9345,20.3462,18.6950,480.7110,0.0153,164.3534,15.7481,9.5629,125.8978,0.0291,124.5901,13.1835,10.2606,140.2390,0.0292,105.3403
Shea's,∫iz,CVC,3,5,8.3420,5,8.3420,19.9764,11.5105,168.4604,0.0482,164.4764,17.6988,11.3210,158.6295,0.0507,147.4106,35,7.7583,27,8.1759,32,7.5522,25,7.5522,25,20,28,22,24.4410,16.8198,392.2933,0.0161,194.9345,20.3462,18.6950,480.7110,0.0153,164.3534,15.7481,9.5629,125.8978,0.0291,124.5901,13.1835,10.2606,140.2390,0.0292,105.3403
sheath,∫iθ,CVC,3,1,2.9400,1,2.9400,6.8821,25.9715,856.2173,0.0264,48.8577,6.2034,24.9127,774.6566,0.0280,44.0464,17,7.6541,13,8.0700,15,7.2953,12,7.2953,8,8,10,9,29.1622,18.8736,459.8055,0.0219,234.3498,24.0185,21.4077,607.5603,0.0199,197.5705,19.0923,10.6702,142.3262,0.0408,152.5454,15.7665,11.7236,174.9962,0.0385,129.4845
shag,∫æg,CVC,3,15,9.0000,14,9.0550,20.7452,10.7024,145.1084,0.0519,175.3384,18.6321,10.6065,142.3977,0.0535,159.5578,14,8.2007,14,8.2007,14,8.2007,14,8.2007,13,13,13,13,22.2228,10.3021,156.0939,0.0088,175.2585,20.3035,10.1060,147.9828,0.0091,161.0367,12.7297,6.5769,56.7878,0.0156,105.6974,11.6750,6.2853,51.1689,0.0165,98.0824
shack,∫æk,CVC,3,15,8.8533,14,8.8979,21.4561,10.4585,135.9154,0.0539,179.7174,19.1985,10.3846,134.3840,0.0551,162.8828,30,7.5067,25,7.8248,26,7.7885,21,7.7885,9,9,9,9,26.1690,13.2903,272.8116,0.0134,207.8012,23.7316,13.4103,275.5730,0.0136,189.8799,14.7811,5.7772,42.1928,0.0202,124.0713,13.3659,5.6778,40.9426,0.0205,113.9029
shall,∫æl,CVC,3,15,8.6780,14,8.7100,22.1435,8.2210,86.6365,0.0462,184.6991,20.0610,7.9051,78.9140,0.0488,168.6809,14,7.5179,14,7.5179,12,7.2217,12,7.2217,0,0,1,1,22.8090,10.9897,187.9551,0.0088,181.3006,20.1418,11.0970,185.8757,0.0091,161.4725,12.3208,7.5937,81.5618,0.0149,101.7674,10.8630,7.4420,76.1416,0.0157,90.9026
